article_id,num_raters,bias_rate,consensus_rate,consensus_category
126,6,1.0,1.0,High
127,11,0.36363636363636365,0.6363636363636364,Moderate
128,12,0.5833333333333334,0.5833333333333334,Low
129,15,0.6666666666666666,0.6666666666666666,Moderate
130,18,0.7777777777777778,0.7777777777777778,Moderate
131,10,0.6,0.6,Moderate
132,11,0.8181818181818182,0.8181818181818182,High
133,20,0.7,0.7,Moderate
134,7,0.42857142857142855,0.5714285714285714,Low
135,2,0.5,0.5,Tie
136,24,0.4583333333333333,0.5416666666666667,Low
137,4,0.25,0.75,Moderate
138,2,0.5,0.5,Tie
139,6,0.8333333333333334,0.8333333333333334,High
140,10,0.7,0.7,Moderate
141,11,0.6363636363636364,0.6363636363636364,Moderate
142,11,0.7272727272727273,0.7272727272727273,Moderate
143,7,0.5714285714285714,0.5714285714285714,Low
144,9,0.7777777777777778,0.7777777777777778,Moderate
145,14,0.7142857142857143,0.7142857142857143,Moderate
146,9,0.4444444444444444,0.5555555555555556,Low
147,7,0.42857142857142855,0.5714285714285714,Low
148,5,0.6,0.6,Moderate
149,4,0.5,0.5,Tie
150,8,0.5,0.5,Tie
151,8,0.75,0.75,Moderate
152,15,0.7333333333333333,0.7333333333333333,Moderate
153,5,0.6,0.6,Moderate
154,10,0.7,0.7,Moderate
155,7,0.8571428571428571,0.8571428571428571,High
156,11,0.7272727272727273,0.7272727272727273,Moderate
157,27,0.7407407407407407,0.7407407407407407,Moderate
158,5,0.4,0.6,Moderate
159,10,1.0,1.0,High
160,9,0.7777777777777778,0.7777777777777778,Moderate
161,11,0.8181818181818182,0.8181818181818182,High
162,8,0.625,0.625,Moderate
163,4,0.75,0.75,Moderate
164,2,0.5,0.5,Tie
165,8,0.625,0.625,Moderate
166,9,0.6666666666666666,0.6666666666666666,Moderate
167,9,0.6666666666666666,0.6666666666666666,Moderate
168,11,0.7272727272727273,0.7272727272727273,Moderate
169,12,0.75,0.75,Moderate
170,2,0.5,0.5,Tie
171,7,0.7142857142857143,0.7142857142857143,Moderate
172,7,0.8571428571428571,0.8571428571428571,High
173,6,0.16666666666666666,0.8333333333333334,High
174,7,1.0,1.0,High
175,8,0.5,0.5,Tie
176,4,0.5,0.5,Tie
177,5,0.6,0.6,Moderate
178,3,0.3333333333333333,0.6666666666666667,Moderate
179,6,1.0,1.0,High
180,7,0.5714285714285714,0.5714285714285714,Low
181,7,0.7142857142857143,0.7142857142857143,Moderate
182,9,0.6666666666666666,0.6666666666666666,Moderate
183,3,1.0,1.0,High
184,11,0.7272727272727273,0.7272727272727273,Moderate
185,5,0.8,0.8,High
186,3,1.0,1.0,High
187,5,0.4,0.6,Moderate
188,2,1.0,1.0,High
191,3,0.6666666666666666,0.6666666666666666,Moderate
192,19,0.5789473684210527,0.5789473684210527,Low
193,40,0.325,0.675,Moderate
194,7,0.7142857142857143,0.7142857142857143,Moderate
195,15,0.4666666666666667,0.5333333333333333,Low
196,2,1.0,1.0,High
197,6,0.8333333333333334,0.8333333333333334,High
198,2,0.5,0.5,Tie
199,2,1.0,1.0,High
200,3,1.0,1.0,High
201,3,0.0,1.0,High
202,2,0.5,0.5,Tie
203,9,0.4444444444444444,0.5555555555555556,Low
204,7,0.7142857142857143,0.7142857142857143,Moderate
205,22,0.45454545454545453,0.5454545454545454,Low
206,2,0.0,1.0,High
207,5,1.0,1.0,High
208,15,0.7333333333333333,0.7333333333333333,Moderate
209,2,1.0,1.0,High
210,10,0.4,0.6,Moderate
211,19,0.47368421052631576,0.5263157894736843,Low
212,5,0.6,0.6,Moderate
213,7,0.8571428571428571,0.8571428571428571,High
214,3,0.3333333333333333,0.6666666666666667,Moderate
215,12,0.5833333333333334,0.5833333333333334,Low
220,3,1.0,1.0,High
221,3,1.0,1.0,High
222,7,0.42857142857142855,0.5714285714285714,Low
223,7,0.5714285714285714,0.5714285714285714,Low
224,5,0.2,0.8,High
225,4,0.5,0.5,Tie
226,4,0.5,0.5,Tie
227,7,0.8571428571428571,0.8571428571428571,High
229,5,1.0,1.0,High
230,18,0.6666666666666666,0.6666666666666666,Moderate
231,3,1.0,1.0,High
233,11,0.9090909090909091,0.9090909090909091,High
234,5,0.6,0.6,Moderate
235,7,0.7142857142857143,0.7142857142857143,Moderate
236,4,0.75,0.75,Moderate
237,6,1.0,1.0,High
238,4,0.5,0.5,Tie
239,5,0.8,0.8,High
240,5,0.4,0.6,Moderate
241,5,1.0,1.0,High
242,9,0.6666666666666666,0.6666666666666666,Moderate
243,2,0.5,0.5,Tie
244,5,0.8,0.8,High
245,10,0.8,0.8,High
246,6,0.6666666666666666,0.6666666666666666,Moderate
247,3,0.6666666666666666,0.6666666666666666,Moderate
248,7,0.5714285714285714,0.5714285714285714,Low
250,2,1.0,1.0,High
251,4,0.5,0.5,Tie
252,4,0.5,0.5,Tie
253,7,0.7142857142857143,0.7142857142857143,Moderate
255,2,1.0,1.0,High
256,2,1.0,1.0,High
258,4,0.5,0.5,Tie
259,9,0.6666666666666666,0.6666666666666666,Moderate
260,5,0.4,0.6,Moderate
261,4,0.75,0.75,Moderate
262,15,0.7333333333333333,0.7333333333333333,Moderate
263,13,0.7692307692307693,0.7692307692307693,Moderate
265,22,0.5,0.5,Tie
266,8,0.75,0.75,Moderate
267,12,0.5833333333333334,0.5833333333333334,Low
268,14,0.5,0.5,Tie
269,6,0.3333333333333333,0.6666666666666667,Moderate
270,3,0.6666666666666666,0.6666666666666666,Moderate
271,7,0.7142857142857143,0.7142857142857143,Moderate
272,3,0.3333333333333333,0.6666666666666667,Moderate
274,8,1.0,1.0,High
275,2,0.5,0.5,Tie
276,12,0.3333333333333333,0.6666666666666667,Moderate
277,10,0.7,0.7,Moderate
278,12,0.6666666666666666,0.6666666666666666,Moderate
279,7,0.8571428571428571,0.8571428571428571,High
280,3,0.0,1.0,High
281,5,1.0,1.0,High
282,2,0.5,0.5,Tie
283,3,1.0,1.0,High
284,8,1.0,1.0,High
286,5,0.6,0.6,Moderate
287,3,0.3333333333333333,0.6666666666666667,Moderate
288,6,1.0,1.0,High
289,2,1.0,1.0,High
