article_id,human_bias_rate,human_majority
140,0.7,1
141,0.6363636363636364,1
142,0.7272727272727273,1
143,0.5714285714285714,1
144,0.7777777777777778,1
145,0.7142857142857143,1
146,0.4444444444444444,0
147,0.42857142857142855,0
148,0.6,1
149,0.5,0
150,0.5,0
151,0.75,1
152,0.7333333333333333,1
153,0.6,1
154,0.7,1
155,0.8571428571428571,1
156,0.7272727272727273,1
157,0.7407407407407407,1
158,0.4,0
159,1.0,1
160,0.7777777777777778,1
161,0.8181818181818182,1
162,0.625,1
163,0.75,1
164,0.5,0
165,0.625,1
166,0.6666666666666666,1
167,0.6666666666666666,1
168,0.7272727272727273,1
169,0.75,1
170,0.5,0
171,0.7142857142857143,1
172,0.8571428571428571,1
173,0.16666666666666666,0
174,1.0,1
175,0.5,0
176,0.5,0
177,0.6,1
178,0.3333333333333333,0
179,1.0,1
180,0.5714285714285714,1
181,0.7142857142857143,1
182,0.6666666666666666,1
183,1.0,1
184,0.7272727272727273,1
185,0.8,1
186,1.0,1
187,0.4,0
188,1.0,1
189,0.0,0
190,1.0,1
191,0.6666666666666666,1
192,0.5789473684210527,1
193,0.325,0
194,0.7142857142857143,1
195,0.4666666666666667,0
196,1.0,1
197,0.8333333333333334,1
198,0.5,0
199,1.0,1
200,1.0,1
201,0.0,0
202,0.5,0
203,0.4444444444444444,0
204,0.7142857142857143,1
205,0.45454545454545453,0
206,0.0,0
207,1.0,1
208,0.7333333333333333,1
209,1.0,1
210,0.4,0
211,0.47368421052631576,0
212,0.6,1
213,0.8571428571428571,1
214,0.3333333333333333,0
215,0.5833333333333334,1
216,0.0,0
217,1.0,1
218,1.0,1
219,1.0,1
220,1.0,1
221,1.0,1
222,0.42857142857142855,0
223,0.5714285714285714,1
224,0.2,0
225,0.5,0
226,0.5,0
227,0.8571428571428571,1
228,1.0,1
229,1.0,1
230,0.6666666666666666,1
231,1.0,1
232,1.0,1
233,0.9090909090909091,1
234,0.6,1
235,0.7142857142857143,1
236,0.75,1
237,1.0,1
238,0.5,0
239,0.8,1
240,0.4,0
241,1.0,1
242,0.6666666666666666,1
243,0.5,0
244,0.8,1
245,0.8,1
246,0.6666666666666666,1
247,0.6666666666666666,1
248,0.5714285714285714,1
249,1.0,1
250,1.0,1
251,0.5,0
252,0.5,0
253,0.7142857142857143,1
254,0.0,0
255,1.0,1
256,1.0,1
257,1.0,1
258,0.5,0
259,0.6666666666666666,1
260,0.4,0
261,0.75,1
262,0.7333333333333333,1
263,0.7692307692307693,1
264,1.0,1
265,0.5,0
266,0.75,1
267,0.5833333333333334,1
268,0.5,0
269,0.3333333333333333,0
270,0.6666666666666666,1
271,0.7142857142857143,1
272,0.3333333333333333,0
273,0.0,0
274,1.0,1
275,0.5,0
276,0.3333333333333333,0
277,0.7,1
278,0.6666666666666666,1
279,0.8571428571428571,1
280,0.0,0
281,1.0,1
282,0.5,0
283,1.0,1
284,1.0,1
285,0.0,0
286,0.6,1
287,0.3333333333333333,0
288,1.0,1
289,1.0,1
