Model_A,Model_B,Model_A_Display,Model_B_Display,Raw_Agreement,Disagreement_Rate,Cohen_Kappa,N_Shared
gpt-5.4-mini,llama4_scout,GPT-5.4 mini,Llama 4 Scout,0.7416245984396512,0.25837540156034877,0.3626890785988248,2179
gpt-5.4-mini,phi4-mini,GPT-5.4 mini,Phi-4 mini,0.42909591555759524,0.5709040844424047,0.10421732414817764,2179
gpt-5.4-mini,qwen3_30b,GPT-5.4 mini,Qwen3 30B,0.7783386874713171,0.22166131252868293,0.10640839611371533,2179
gpt-5.4-mini,qwen3_4b,GPT-5.4 mini,Qwen3 4B,0.7732905002294631,0.2267094997705369,0.11128779247370424,2179
gpt-5.4-mini,r1-1776_latest,GPT-5.4 mini,R1-1776,0.679669573198715,0.320330426801285,0.32715078855980007,2179
llama3.2_3b,llama4_scout,Llama 3.2 3B,Llama 4 Scout,0.7076640660853603,0.29233593391463975,0.41904545056924647,2179
llama3.2_3b,phi4-mini,Llama 3.2 3B,Phi-4 mini,0.7338228545204222,0.2661771454795778,0.4626537968661112,2179
llama3.2_3b,qwen3_30b,Llama 3.2 3B,Qwen3 30B,0.4965580541532813,0.5034419458467188,0.009989716224964251,2179
llama3.2_3b,qwen3_4b,Llama 3.2 3B,Qwen3 4B,0.49885268471776045,0.5011473152822395,0.014040222893303644,2179
llama3.2_3b,r1-1776_latest,Llama 3.2 3B,R1-1776,0.7925653969710876,0.20743460302891237,0.5858010263000965,2179
llama4_scout,phi4-mini,Llama 4 Scout,Phi-4 mini,0.5176686553464892,0.4823313446535108,0.186323544302898,2179
llama4_scout,qwen3_30b,Llama 4 Scout,Qwen3 30B,0.6750803120697567,0.3249196879302433,0.014737439072989633,2179
llama4_scout,qwen3_4b,Llama 4 Scout,Qwen3 4B,0.6727856815052776,0.3272143184947224,0.02189122506372776,2179
llama4_scout,r1-1776_latest,Llama 4 Scout,R1-1776,0.7076640660853603,0.29233593391463975,0.3957995707113907,2179
phi4-mini,qwen3_30b,Phi-4 mini,Qwen3 30B,0.2615878843506195,0.7384121156493805,0.011676612356033345,2179
phi4-mini,qwen3_4b,Phi-4 mini,Qwen3 4B,0.2574575493345571,0.7425424506654429,-0.0031263568269128683,2179
phi4-mini,r1-1776_latest,Phi-4 mini,R1-1776,0.6512161541991739,0.3487838458008261,0.33369919981459906,2179
qwen3_30b,qwen3_4b,Qwen3 30B,Qwen3 4B,0.960991280403855,0.03900871959614505,0.3417690478813574,2179
qwen3_30b,r1-1776_latest,Qwen3 30B,R1-1776,0.55713630105553,0.44286369894447,0.03083378617489685,2179
qwen3_4b,r1-1776_latest,Qwen3 4B,R1-1776,0.5585130793942176,0.44148692060578243,0.03638409705858292,2179
