,age,articleNumber,batch,bias-question,country,gender,language,source,politics,url
108,36,281.0,2.0,is-not-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/us/rare-snake-alabama-trnd/index.html
109,51,40.0,1.0,is-not-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/entertainment-arts-60562041
110,34,263.0,7.0,is-biased,Belarus,Male,Afrikaans,BBC,Conservative,https://www.bbc.co.uk/news/business-61027374
111,45,17.0,7.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/10/politics/biden-ghost-guns-atf-nominee/index.html
112,25,180.0,4.0,is-not-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61005429
113,25,76.0,3.0,is-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/genealogy-database-dna-solves-2-decade-old-violent-rape-cases-in-washington-state
114,52,289.0,3.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/21/politics/covid-funding-biden-administration/index.html
115,40,136.0,1.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/08/us/sherri-papini-detention-hearing/index.html
116,30,319.0,3.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60787377
117,51,437.0,1.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60666414
118,50,376.0,4.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/brooklyn-bridge-climber-rush-hour-drama-video
119,25,120.0,7.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/10/us/us-marshals-service-new-orleans-operation/index.html
120,34,234.0,7.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61018765
121,28,214.0,3.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/new-orleans-police-5-shootings-10-hours
122,27,326.0,7.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/10/entertainment/pamela-anderson-broadway-chicago-interview/index.html
123,34,263.0,7.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/business-61027374
124,49,14.0,6.0,is-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/universal-studios-hollywood-guests-rescued-from-ride-after-power-goes-out
125,35,78.0,7.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/10/politics/liz-cheney-january-6-committee-cnntv/index.html
126,52,191.0,4.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/07/weather/severe-weather-south-thursday/index.html
127,23,141.0,1.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/ghislaine-maxwell-juror-calls-false-answer-questionnaire-biggest-mistake
128,22,387.0,4.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/feds-rearrest-louisville-suspect-blm-fund-attempt-mayoral-candidates-life
129,45,120.0,2.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
130,52,92.0,2.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/entertainment/kyiv-calling-ukrainian-band-covers-the-clash-trnd/index.html
131,53,319.0,3.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60787377
132,48,445.0,7.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/nyc-high-school-shooting-charged-with-murder
133,28,420.0,4.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/07/politics/north-korea-nuclear-satellite-images/index.html
134,27,397.0,8.0,is-not-biased,Kenya,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/business-60979656
135,30,95.0,4.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/man-beaten-stabbed-on-chicago-transit-in-third-violent-attack-in-as-many-days
136,60,287.0,8.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/texas-da-murder-charge-abortion-case-will-be-dropped
137,48,466.0,2.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/at-least-ten-people-shot-at-arkansas-car-show-reports
138,43,301.0,4.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/brooklyn-bridge-climber-rush-hour-drama-video
139,43,350.0,8.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/project-cure-nonprofit-medical-supplies-ukraine-logistics-russia-war
140,28,162.0,2.0,is-not-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/20/media/reliable-sources-kyiv-independent/index.html
141,68,129.0,3.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/21/americas/mississauga-canada-mosque-attack-charges/index.html
142,32,118.0,2.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
143,42,431.0,8.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60999246
144,49,263.0,2.0,is-not-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/california-gang-members-charged-kevin-nishita-murder-shooting-smash-and-grab
145,42,408.0,4.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/california-homeowner-beats-up-suspected-burglar-during-robbery
146,42,353.0,7.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/10/politics/biden-ghost-guns-atf-nominee/index.html
147,28,426.0,3.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/new-york-city-driver-runs-over-man-doing-donuts-street-flees-video
148,27,497.0,4.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/07/politics/michelle-obama-ketanji-brown-jackson-supreme-court-confirmation/index.html
149,61,58.0,4.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/07/politics/michelle-obama-ketanji-brown-jackson-supreme-court-confirmation/index.html
150,30,213.0,7.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/10/politics/liz-cheney-january-6-committee-cnntv/index.html
151,59,101.0,8.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/11/asia/pakistan-prime-minister-shehbaz-sharif-intl-hnk/index.html
152,40,488.0,3.0,is-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/biden-patriot-antimissile-systems-saudis
153,53,54.0,2.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/media/reliable-sources-kyiv-independent/index.html
154,25,3.0,2.0,is-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60758401
155,20,195.0,7.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/man-beaten-by-biker-club-after-accidentally-running-into-member-at-mi-bar-police
156,43,127.0,8.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/blankets-of-hope-nonprofit-homeless-shelters-ukraine
157,64,34.0,1.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/ghislaine-maxwell-juror-calls-false-answer-questionnaire-biggest-mistake
158,27,407.0,1.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/nyc-career-criminal-slashes-man-after-freed-prior-attack
159,28,490.0,3.0,is-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/mexico-cartel-ak-texas-border
160,30,174.0,3.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/science-environment-60788761
161,52,142.0,6.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/nyc-shooting-outside-bronx-school-kills-teen-injures-two-others
162,42,486.0,6.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/nancy-crampton-brophy-murder-trial-oregon
163,34,245.0,2.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/20/us/rare-snake-alabama-trnd/index.html
164,32,449.0,4.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/florida-man-sister-in-law-attempted-robbers-fight-back-wwe
165,28,180.0,3.0,is-not-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/genealogy-database-dna-solves-2-decade-old-violent-rape-cases-in-washington-state
166,42,186.0,6.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town
167,45,149.0,6.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town
168,55,218.0,2.0,is-biased,India,Male,English,FOX,Independent,https://www.foxnews.com/us/4-people-shot-near-south-by-southwest-festival-in-texas
169,32,253.0,7.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/tesla-driver-careens-texas-sidewalk-video
170,36,325.0,7.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/60920818
171,20,423.0,8.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/alabama-governor-signs-law-banning-trans-youth-medication
172,31,384.0,6.0,is-not-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61005390
173,64,351.0,2.0,is-not-biased,United States,Female,English,CNN,Other,https://www.cnn.com/2022/03/20/politics/scotus-history-nominations-fights/index.html
174,42,136.0,2.0,is-biased,Gabon,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-europe-60804949
175,47,238.0,4.0,is-not-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60999246
176,44,433.0,6.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/maryland-police-release-footage-of-sick-attack-on-senior-citizen
177,24,77.0,6.0,is-not-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/entertainment-arts-61033263
178,48,86.0,8.0,is-not-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/04/11/us/ghost-guns-what-to-know/index.html
179,63,191.0,1.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/08/us/des-moines-iowa-school-shooting-tuesday/index.html
180,24,200.0,6.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town
181,31,453.0,8.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/georgia-to-pennsylvania-300-guns-trafficked-atlanta-rapper-straw-purchasing-scheme
182,22,341.0,1.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/08/health/florida-child-covid-vaccine-guidance/index.html
183,35,317.0,3.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/entertainment-arts-59731053
184,28,189.0,2.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/entertainment/kanye-west-banned-grammys-trevor-noah/index.html
185,48,72.0,7.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html
186,49,243.0,6.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/uk-scotland-61031326
187,25,324.0,3.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/west-texas-wildfires-evacuations
188,42,482.0,7.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/science-environment-61044759
189,60,250.0,3.0,is-not-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
190,38,153.0,3.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/new-orleans-police-5-shootings-10-hours
191,30,111.0,3.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/nyc-nypd-police-weekend-shooting-victims-shot
192,33,174.0,2.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60797948
193,47,186.0,3.0,is-not-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/california-chevron-refinery-strike
194,44,474.0,3.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/severe-weather-coming-to-texas-southeast
195,45,208.0,8.0,is-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60999431
196,33,242.0,3.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
197,25,39.0,8.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/magazine-33103973
198,40,3.0,1.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/08/health/florida-child-covid-vaccine-guidance/index.html
