article_id,index,llm_assessment,llm_confidence,llm_label,Model,Condition
268,546,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
140,672,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
86,798,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
74,1491,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
57,1806,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
123,358,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
116,547,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
84,673,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
216,799,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
131,1492,is-biased,95,1,gemini-2.5-flash-lite,Direct
193,1807,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
116,359,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
272,548,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
196,674,is-biased,95,1,gemini-2.5-flash-lite,Direct
85,800,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
74,1493,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
116,1808,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
263,360,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
36,549,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
101,675,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
226,801,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
133,1494,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
47,1809,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
171,361,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
105,550,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
113,676,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
19,802,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
29,1495,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
265,1810,is-biased,85,1,gemini-2.5-flash-lite,Direct
25,362,is-biased,85,1,gemini-2.5-flash-lite,Direct
6,551,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
129,677,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
185,803,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
130,1496,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
268,1811,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
122,363,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
246,552,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
67,678,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
133,804,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
132,1497,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
110,1812,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
114,364,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
94,553,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
95,679,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
247,805,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
131,1498,is-biased,95,1,gemini-2.5-flash-lite,Direct
192,1813,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
101,365,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
120,554,is-biased,95,1,gemini-2.5-flash-lite,Direct
42,680,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
133,806,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
179,1499,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
195,1814,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
40,366,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
193,555,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
184,681,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
276,807,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
258,1500,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
265,1815,is-biased,85,1,gemini-2.5-flash-lite,Direct
220,367,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
25,556,is-biased,85,1,gemini-2.5-flash-lite,Direct
142,682,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
100,808,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
14,1501,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
222,1816,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
97,368,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
274,557,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
210,683,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
116,809,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
80,1502,is-biased,75,1,gemini-2.5-flash-lite,Direct
111,1817,is-biased,85,1,gemini-2.5-flash-lite,Direct
192,369,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
100,558,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
136,684,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
123,810,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
10,1503,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
265,1818,is-biased,85,1,gemini-2.5-flash-lite,Direct
263,370,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
131,559,is-biased,95,1,gemini-2.5-flash-lite,Direct
65,685,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
188,811,is-biased,95,1,gemini-2.5-flash-lite,Direct
29,1504,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
45,1819,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
2,371,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
196,560,is-biased,95,1,gemini-2.5-flash-lite,Direct
145,686,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
90,812,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
242,1505,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
115,1820,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
91,372,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
155,561,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
2,687,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
267,813,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
75,1506,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
276,1821,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
153,373,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
103,562,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
165,688,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
82,814,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
208,1507,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
114,1822,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
63,374,is-biased,75,1,gemini-2.5-flash-lite,Direct
253,563,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
241,689,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
7,815,is-biased,75,1,gemini-2.5-flash-lite,Direct
43,1508,is-biased,75,1,gemini-2.5-flash-lite,Direct
27,1823,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
125,375,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
71,564,is-biased,95,1,gemini-2.5-flash-lite,Direct
86,690,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
103,816,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
129,1509,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
115,1824,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
9,376,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
169,565,is-biased,85,1,gemini-2.5-flash-lite,Direct
219,691,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
3,817,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
132,1510,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
13,1825,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
230,377,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
102,566,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
244,692,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
101,818,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
258,1511,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
51,1826,is-biased,95,1,gemini-2.5-flash-lite,Direct
162,378,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
101,567,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
183,693,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
112,819,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
130,1512,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
0,1827,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
65,379,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
169,568,is-biased,85,1,gemini-2.5-flash-lite,Direct
28,694,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
150,820,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
182,1513,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
116,1828,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
78,380,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
126,569,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
240,695,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
152,821,is-biased,95,1,gemini-2.5-flash-lite,Direct
74,1514,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
205,1829,is-not-biased,98,0,gemini-2.5-flash-lite,Direct
88,381,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
154,570,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
49,696,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
265,822,is-biased,85,1,gemini-2.5-flash-lite,Direct
132,1515,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
205,1830,is-not-biased,98,0,gemini-2.5-flash-lite,Direct
198,382,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
36,571,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
142,697,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
159,823,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
133,1516,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
59,1831,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
112,383,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
121,572,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
98,698,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
184,824,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
236,1517,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
50,1832,is-biased,95,1,gemini-2.5-flash-lite,Direct
131,384,is-biased,95,1,gemini-2.5-flash-lite,Direct
142,573,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
144,699,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
100,825,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
208,1518,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
205,1833,is-not-biased,98,0,gemini-2.5-flash-lite,Direct
133,385,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
160,574,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
202,700,is-biased,85,1,gemini-2.5-flash-lite,Direct
7,826,is-biased,75,1,gemini-2.5-flash-lite,Direct
136,1519,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
193,1834,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
116,386,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
157,575,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
102,701,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
145,827,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
14,1520,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
195,1835,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
11,387,is-biased,95,1,gemini-2.5-flash-lite,Direct
104,576,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
266,702,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
191,828,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
136,1521,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
205,1836,is-not-biased,98,0,gemini-2.5-flash-lite,Direct
74,388,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
272,577,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
103,703,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
76,829,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
129,1522,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
115,1837,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
29,389,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
101,578,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
197,704,is-biased,85,1,gemini-2.5-flash-lite,Direct
254,830,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
133,1523,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
116,1838,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
266,390,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
64,579,is-biased,85,1,gemini-2.5-flash-lite,Direct
94,705,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
90,831,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
132,1524,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
115,1839,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
139,391,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
110,580,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
218,706,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
105,832,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
130,1525,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
110,1840,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
184,392,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
168,581,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
166,707,is-biased,75,1,gemini-2.5-flash-lite,Direct
286,833,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
80,1526,is-biased,75,1,gemini-2.5-flash-lite,Direct
115,1841,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
121,393,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
118,582,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
101,708,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
180,834,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
137,1527,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
265,1842,is-biased,85,1,gemini-2.5-flash-lite,Direct
114,394,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
167,583,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
70,709,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
227,835,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
133,1528,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
112,1843,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
135,395,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
8,584,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
128,710,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
109,836,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
14,1529,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
115,1844,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
263,396,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
160,585,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
157,711,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
260,837,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
262,1530,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
59,1845,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
230,397,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
20,586,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
146,712,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
72,838,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
236,1531,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
110,1846,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
20,398,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
111,587,is-biased,85,1,gemini-2.5-flash-lite,Direct
277,713,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
136,839,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
133,1532,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
265,1847,is-biased,85,1,gemini-2.5-flash-lite,Direct
23,399,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
138,588,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
197,714,is-biased,85,1,gemini-2.5-flash-lite,Direct
261,840,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
129,1533,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
192,1848,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
273,400,is-biased,85,1,gemini-2.5-flash-lite,Direct
277,589,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
188,715,is-biased,95,1,gemini-2.5-flash-lite,Direct
174,841,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
208,1534,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
193,1849,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
280,401,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
125,590,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
123,716,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
175,842,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
129,1535,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
59,1850,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
265,402,is-biased,85,1,gemini-2.5-flash-lite,Direct
71,591,is-biased,95,1,gemini-2.5-flash-lite,Direct
33,717,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
33,843,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
129,1536,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
115,1851,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
206,403,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
150,592,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
104,718,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
94,844,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
134,1537,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
222,1852,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
234,404,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
211,593,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
101,719,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
152,845,is-biased,95,1,gemini-2.5-flash-lite,Direct
249,1538,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
116,1853,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
18,405,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
233,594,is-biased,85,1,gemini-2.5-flash-lite,Direct
210,720,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
146,846,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
129,1539,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
54,1854,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
194,406,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
182,595,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
143,721,is-biased,95,1,gemini-2.5-flash-lite,Direct
160,847,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
267,1540,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
60,1855,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
132,407,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
25,596,is-biased,85,1,gemini-2.5-flash-lite,Direct
278,722,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
157,848,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
131,1541,is-biased,95,1,gemini-2.5-flash-lite,Direct
195,1856,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
158,408,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
277,597,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
244,723,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
277,849,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
248,1542,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
111,1857,is-biased,85,1,gemini-2.5-flash-lite,Direct
127,409,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
192,598,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
63,724,is-biased,75,1,gemini-2.5-flash-lite,Direct
105,850,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
24,1543,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
278,1858,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
123,410,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
177,599,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
231,725,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
125,851,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
246,1544,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
116,1859,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
175,411,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
281,600,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
58,726,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
51,852,is-biased,95,1,gemini-2.5-flash-lite,Direct
267,1545,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
207,1860,is-biased,95,1,gemini-2.5-flash-lite,Direct
118,412,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
50,601,is-biased,95,1,gemini-2.5-flash-lite,Direct
150,727,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
141,853,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
71,1546,is-biased,95,1,gemini-2.5-flash-lite,Direct
114,1861,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
151,413,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
228,602,is-biased,85,1,gemini-2.5-flash-lite,Direct
80,728,is-biased,75,1,gemini-2.5-flash-lite,Direct
244,854,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
133,1547,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
205,1862,is-not-biased,98,0,gemini-2.5-flash-lite,Direct
76,414,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
246,603,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
224,729,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
242,855,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
131,1548,is-biased,95,1,gemini-2.5-flash-lite,Direct
114,1863,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
136,100,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
25,856,is-biased,85,1,gemini-2.5-flash-lite,Direct
2,1171,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
116,1927,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
106,101,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
6,857,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
174,1172,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
193,1928,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
157,102,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
152,858,is-biased,95,1,gemini-2.5-flash-lite,Direct
213,1173,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
62,1929,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
123,103,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
106,859,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
230,1174,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
19,1930,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
2,104,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
227,860,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
43,1175,is-biased,75,1,gemini-2.5-flash-lite,Direct
27,1931,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
59,105,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
262,861,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
13,1176,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
215,1932,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
187,106,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
141,862,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
136,1177,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
110,1933,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
69,107,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
10,863,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
129,1178,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
268,1934,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
128,108,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
266,864,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
65,1179,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
110,1935,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
13,109,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
242,865,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
130,1180,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
195,1936,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
7,110,is-biased,75,1,gemini-2.5-flash-lite,Direct
1,866,is-biased,75,1,gemini-2.5-flash-lite,Direct
101,1181,is-not-biased,95,0,gemini-2.5-flash-lite,Direct
