Model,Model_Display,Comparison,Before_Accuracy,After_Accuracy,Delta_Accuracy,Before_Kappa,After_Kappa,Delta_Kappa,Before_Bias_Rate,After_Bias_Rate,Delta_Bias_Rate
phi4-mini,Phi-4 mini,CoT vs Direct,0.591743119266055,0.44036697247706424,-0.1513761467889908,0.03539823008849552,0.06253084243919627,0.027132612350700747,0.7614678899082569,0.16972477064220184,-0.591743119266055
phi4-mini,Phi-4 mini,Chained CoT vs Direct,0.591743119266055,0.518348623853211,-0.07339449541284404,0.03539823008849552,0.018186497383546385,-0.017211732704949134,0.7614678899082569,0.5321100917431193,-0.22935779816513757
phi4-mini,Phi-4 mini,Chained CoT vs CoT,0.44036697247706424,0.518348623853211,0.07798165137614677,0.06253084243919627,0.018186497383546385,-0.04434434505564988,0.16972477064220184,0.5321100917431193,0.3623853211009175
qwen3_30b,Qwen3 30B,CoT vs Direct,0.3761467889908257,0.40825688073394495,0.03211009174311924,0.0253139588401603,0.05763688760806929,0.03232292876790899,0.022935779816513763,0.06422018348623854,0.04128440366972477
qwen3_30b,Qwen3 30B,Chained CoT vs Direct,0.3761467889908257,0.6055045871559633,0.22935779816513763,0.0253139588401603,-0.00568608518399305,-0.03100004402415335,0.022935779816513763,0.8669724770642202,0.8440366972477065
qwen3_30b,Qwen3 30B,Chained CoT vs CoT,0.40825688073394495,0.6055045871559633,0.1972477064220184,0.05763688760806929,-0.00568608518399305,-0.06332297279206234,0.06422018348623854,0.8669724770642202,0.8027522935779816
qwen3_4b,Qwen3 4B,CoT vs Direct,0.3853211009174312,0.40825688073394495,0.022935779816513735,0.031496585107088526,0.06166166166166165,0.030165076554573123,0.04128440366972477,0.05504587155963303,0.013761467889908258
qwen3_4b,Qwen3 4B,Chained CoT vs Direct,0.3853211009174312,0.5963302752293578,0.21100917431192656,0.031496585107088526,0.08968397076966883,0.058187385662580304,0.04128440366972477,0.6926605504587156,0.6513761467889908
qwen3_4b,Qwen3 4B,Chained CoT vs CoT,0.40825688073394495,0.5963302752293578,0.18807339449541283,0.06166166166166165,0.08968397076966883,0.028022309108007182,0.05504587155963303,0.6926605504587156,0.6376146788990825
r1-1776_latest,R1-1776,CoT vs Direct,0.5045871559633027,0.591743119266055,0.08715596330275233,0.024931665700323014,0.1900308925440427,0.1650992268437197,0.4724770642201835,0.48623853211009177,0.013761467889908285
r1-1776_latest,R1-1776,Chained CoT vs Direct,0.5045871559633027,0.6376146788990825,0.1330275229357798,0.024931665700323014,-0.003028538147932469,-0.027960203848255483,0.4724770642201835,0.9724770642201835,0.5
r1-1776_latest,R1-1776,Chained CoT vs CoT,0.591743119266055,0.6376146788990825,0.04587155963302747,0.1900308925440427,-0.003028538147932469,-0.19305943069197518,0.48623853211009177,0.9724770642201835,0.48623853211009177
