Model,article_id,index,article_only_output,article_only_confidence,human_label,source,politics,age,gender,article_only_aligned,metadata_output,metadata_confidence,Metadata_Condition,Metadata_Label,metadata_aligned,flipped,to_biased,to_not_biased
gemini-2.5-flash-lite,205,1803,0,98.0,1,FOX,Other,36,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,99,355,0,95.0,0,BBC,Liberal,34,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,123,544,0,95.0,1,CNN,Independent,37,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,176,670,1,75.0,0,FOX,Liberal,24,Male,0,1,75.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,156,796,0,95.0,0,CNN,Conservative,25,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,136,1489,0,95.0,0,CNN,Conservative,50,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,212,1804,0,95.0,0,FOX,Independent,36,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,20,356,0,95.0,1,BBC,Liberal,25,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,193,545,0,95.0,0,FOX,Independent,54,Female,1,0,85.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,230,671,0,95.0,1,FOX,Conservative,48,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,233,797,1,85.0,1,FOX,Liberal,25,Male,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,80,1490,1,75.0,1,BBC,Conservative,31,Male,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,116,1805,0,95.0,1,CNN,Independent,33,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,160,357,0,95.0,1,CNN,Conservative,32,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,268,546,0,95.0,1,FOX,Conservative,32,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,140,672,0,95.0,0,CNN,Liberal,57,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,86,798,0,95.0,0,BBC,Liberal,47,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,74,1491,0,95.0,1,BBC,Independent,30,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,57,1806,0,95.0,0,BBC,Independent,44,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,123,358,0,95.0,0,CNN,Conservative,59,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,116,547,0,95.0,1,CNN,Liberal,42,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,84,673,0,95.0,1,BBC,Conservative,33,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,216,799,0,95.0,0,FOX,Independent,20,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,131,1492,1,95.0,1,CNN,Conservative,38,Male,1,1,85.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,193,1807,0,95.0,0,FOX,Conservative,61,Female,1,0,85.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,116,359,0,95.0,1,CNN,Liberal,62,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,272,548,0,95.0,0,FOX,Independent,19,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,196,674,1,95.0,1,FOX,Conservative,25,Male,1,1,85.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,85,800,0,95.0,1,BBC,Conservative,39,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,74,1493,0,95.0,1,BBC,Liberal,35,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,116,1808,0,95.0,1,CNN,Independent,26,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,263,360,0,95.0,1,FOX,Conservative,26,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,36,549,0,95.0,0,BBC,Liberal,34,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,101,675,0,95.0,0,BBC,Liberal,24,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,226,801,0,95.0,0,FOX,Conservative,27,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,133,1494,0,95.0,1,CNN,Conservative,25,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,47,1809,0,95.0,0,BBC,Liberal,27,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,171,361,0,95.0,1,CNN,Independent,31,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,105,550,0,95.0,1,BBC,Conservative,48,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,113,676,0,95.0,1,CNN,Liberal,35,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,19,802,0,95.0,1,BBC,Conservative,42,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,29,1495,0,95.0,0,BBC,Conservative,44,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,265,1810,1,85.0,1,FOX,Conservative,35,Female,1,1,75.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,25,362,1,85.0,1,BBC,Liberal,24,Male,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,6,551,0,95.0,1,BBC,Conservative,48,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,129,677,0,95.0,0,CNN,Liberal,52,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,185,803,0,95.0,1,FOX,Conservative,29,Male,0,0,75.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,130,1496,0,95.0,1,CNN,Independent,25,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,268,1811,0,95.0,1,FOX,Liberal,34,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,122,363,0,95.0,1,CNN,Independent,34,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,246,552,0,95.0,1,FOX,Liberal,25,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,67,678,0,95.0,1,BBC,Conservative,38,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,133,804,0,95.0,1,CNN,Independent,40,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,132,1497,0,95.0,1,CNN,Liberal,45,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,110,1812,0,95.0,0,CNN,Conservative,52,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,114,364,0,95.0,1,CNN,Liberal,21,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,94,553,0,95.0,1,BBC,Conservative,34,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,95,679,0,95.0,1,BBC,Liberal,47,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,247,805,0,95.0,1,FOX,Conservative,22,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,131,1498,1,95.0,0,CNN,Liberal,37,Female,0,1,85.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,192,1813,0,95.0,0,FOX,Conservative,33,Male,1,0,85.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,101,365,0,95.0,0,BBC,Conservative,47,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,120,554,1,95.0,1,CNN,Independent,18,Male,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,42,680,0,95.0,0,BBC,Independent,25,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,133,806,0,95.0,0,CNN,Liberal,38,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,179,1499,0,95.0,1,FOX,Liberal,40,Male,0,0,85.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,195,1814,0,95.0,0,FOX,Conservative,37,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,40,366,0,95.0,0,BBC,Liberal,26,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,193,555,0,95.0,0,FOX,Independent,44,Male,1,0,85.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,184,681,0,95.0,0,FOX,Independent,29,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,276,807,0,95.0,0,FOX,Liberal,34,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,258,1500,0,95.0,1,FOX,Independent,28,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,265,1815,1,85.0,0,FOX,Independent,27,Male,0,1,75.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,220,367,0,95.0,1,FOX,Liberal,28,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,25,556,1,85.0,1,BBC,Conservative,27,Female,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,142,682,0,95.0,1,CNN,Conservative,25,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,100,808,0,95.0,0,BBC,Independent,35,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,14,1501,0,95.0,1,BBC,Independent,62,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,222,1816,0,95.0,1,FOX,Conservative,31,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,97,368,0,95.0,1,BBC,Liberal,27,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,274,557,0,95.0,1,FOX,Conservative,35,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,210,683,0,95.0,0,FOX,Liberal,20,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,116,809,0,95.0,1,CNN,Liberal,57,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,80,1502,1,75.0,1,BBC,Liberal,35,Male,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,111,1817,1,85.0,0,CNN,Liberal,35,Male,0,1,75.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,192,369,0,95.0,1,FOX,Conservative,25,Male,0,0,85.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,100,558,0,95.0,0,BBC,Liberal,33,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,136,684,0,95.0,1,CNN,Liberal,30,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,123,810,0,95.0,1,CNN,Independent,23,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,10,1503,0,95.0,1,BBC,Conservative,31,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,265,1818,1,85.0,0,FOX,Liberal,35,Male,0,1,75.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,263,370,0,95.0,1,FOX,Liberal,48,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,131,559,1,95.0,1,CNN,Independent,25,Male,1,1,85.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,65,685,0,95.0,1,BBC,Liberal,37,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,188,811,1,95.0,1,FOX,Independent,39,Female,1,1,85.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,29,1504,0,95.0,1,BBC,Liberal,39,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,45,1819,0,95.0,1,BBC,Liberal,43,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,2,371,0,95.0,0,BBC,Independent,30,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,196,560,1,95.0,1,FOX,Conservative,30,Male,1,1,85.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,145,686,0,95.0,0,CNN,Liberal,34,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,90,812,0,95.0,1,BBC,Liberal,53,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,242,1505,0,95.0,1,FOX,Liberal,26,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,115,1820,0,95.0,0,CNN,Independent,22,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,91,372,0,95.0,1,BBC,Liberal,28,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,155,561,0,95.0,1,CNN,Independent,30,Male,0,0,98.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,2,687,0,95.0,1,BBC,Liberal,26,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,267,813,0,95.0,1,FOX,Conservative,75,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,75,1506,0,95.0,0,BBC,Conservative,36,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,276,1821,0,95.0,0,FOX,Liberal,34,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,153,373,0,95.0,1,CNN,Conservative,54,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,103,562,0,95.0,1,BBC,Conservative,30,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,165,688,0,95.0,0,CNN,Liberal,41,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,82,814,0,95.0,1,BBC,Liberal,40,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,208,1507,0,95.0,1,FOX,Conservative,46,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,114,1822,0,95.0,0,CNN,Conservative,34,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,63,374,1,75.0,0,BBC,Other,55,Male,0,0,95.0,source,Source,1,1,0,1
gemini-2.5-flash-lite,253,563,0,95.0,0,FOX,Other,63,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,241,689,0,95.0,1,FOX,Liberal,40,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,7,815,1,75.0,1,BBC,Independent,35,Male,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,43,1508,1,75.0,1,BBC,Conservative,50,Female,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,27,1823,0,95.0,0,BBC,Liberal,71,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,125,375,0,95.0,1,CNN,Liberal,25,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,71,564,1,95.0,1,BBC,Conservative,53,Female,1,1,85.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,86,690,0,95.0,1,BBC,Conservative,25,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,103,816,0,95.0,0,BBC,Conservative,25,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,129,1509,0,95.0,0,CNN,Liberal,41,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,115,1824,0,95.0,1,CNN,Conservative,28,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,9,376,0,95.0,1,BBC,Liberal,30,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,169,565,1,85.0,1,CNN,Conservative,25,Female,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,219,691,0,95.0,1,FOX,Independent,53,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,3,817,0,95.0,1,BBC,Liberal,48,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,132,1510,0,95.0,1,CNN,Conservative,31,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,13,1825,0,95.0,0,BBC,Liberal,56,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,230,377,0,95.0,1,FOX,Conservative,70,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,102,566,0,95.0,0,BBC,Conservative,32,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,244,692,0,95.0,1,FOX,Liberal,36,Female,0,0,85.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,101,818,0,95.0,1,BBC,Conservative,43,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,258,1511,0,95.0,1,FOX,Conservative,30,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,51,1826,1,95.0,1,BBC,Independent,20,Male,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,162,378,0,95.0,1,CNN,Liberal,30,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,101,567,0,95.0,0,BBC,Liberal,36,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,183,693,0,95.0,1,FOX,Conservative,30,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,112,819,0,95.0,1,CNN,Conservative,33,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,130,1512,0,95.0,1,CNN,Conservative,56,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,0,1827,0,95.0,1,BBC,Conservative,40,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,65,379,0,95.0,1,BBC,Liberal,52,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,169,568,1,85.0,1,CNN,Independent,24,Female,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,28,694,0,95.0,1,BBC,Liberal,46,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,150,820,0,95.0,1,CNN,Liberal,31,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,182,1513,0,95.0,1,FOX,Conservative,25,Female,0,0,75.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,116,1828,0,95.0,1,CNN,Liberal,52,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,78,380,0,95.0,1,BBC,Conservative,36,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,126,569,0,95.0,1,CNN,Conservative,30,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,240,695,0,95.0,0,FOX,Liberal,37,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,152,821,1,95.0,1,CNN,Liberal,27,Male,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,74,1514,0,95.0,1,BBC,Liberal,31,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,205,1829,0,98.0,0,FOX,Liberal,32,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,88,381,0,95.0,1,BBC,Conservative,33,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,154,570,0,95.0,1,CNN,Liberal,27,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,49,696,0,95.0,1,BBC,Conservative,30,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,265,822,1,85.0,0,FOX,Conservative,41,Female,0,1,75.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,132,1515,0,95.0,1,CNN,Conservative,26,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,205,1830,0,98.0,1,FOX,Independent,25,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,198,382,0,95.0,0,FOX,Liberal,36,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,36,571,0,95.0,1,BBC,Conservative,23,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,142,697,0,95.0,1,CNN,Conservative,32,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,159,823,0,95.0,1,CNN,Independent,30,Male,0,1,85.0,source,Source,1,1,1,0
gemini-2.5-flash-lite,133,1516,0,95.0,1,CNN,Independent,40,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,59,1831,0,95.0,0,BBC,Independent,59,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,112,383,0,95.0,1,CNN,Liberal,60,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,121,572,0,95.0,1,CNN,Liberal,48,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,98,698,0,95.0,0,BBC,Independent,23,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,184,824,0,95.0,1,FOX,Conservative,25,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,236,1517,0,95.0,0,FOX,Conservative,31,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,50,1832,1,95.0,1,BBC,Liberal,34,Female,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,131,384,1,95.0,0,CNN,Conservative,34,Male,0,1,85.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,142,573,0,95.0,0,CNN,Conservative,25,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,144,699,0,95.0,1,CNN,Independent,33,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,100,825,0,95.0,1,BBC,Liberal,59,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,208,1518,0,95.0,1,FOX,Conservative,48,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,205,1833,0,98.0,0,FOX,Independent,59,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,133,385,0,95.0,1,CNN,Independent,35,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,160,574,0,95.0,1,CNN,Liberal,25,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,202,700,1,85.0,0,FOX,Other,54,Female,0,0,95.0,source,Source,1,1,0,1
gemini-2.5-flash-lite,7,826,1,75.0,1,BBC,Liberal,26,Male,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,136,1519,0,95.0,1,CNN,Conservative,25,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,193,1834,0,95.0,0,FOX,Conservative,31,Male,1,0,85.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,116,386,0,95.0,0,CNN,Independent,43,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,157,575,0,95.0,0,CNN,Conservative,68,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,102,701,0,95.0,1,BBC,Liberal,26,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,145,827,0,95.0,1,CNN,Conservative,41,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,14,1520,0,95.0,0,BBC,Liberal,44,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,195,1835,0,95.0,0,FOX,Liberal,47,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,11,387,1,95.0,1,BBC,Independent,26,Female,1,0,95.0,source,Source,0,1,0,1
gemini-2.5-flash-lite,104,576,0,95.0,1,BBC,Independent,32,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,266,702,0,95.0,1,FOX,Independent,25,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,191,828,0,95.0,1,FOX,Conservative,42,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,136,1521,0,95.0,1,CNN,Independent,29,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,205,1836,0,98.0,0,FOX,Independent,31,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,74,388,0,95.0,1,BBC,Liberal,40,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,272,577,0,95.0,0,FOX,Independent,31,Female,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,103,703,0,95.0,0,BBC,Independent,38,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,76,829,0,95.0,0,BBC,Conservative,35,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,129,1522,0,95.0,0,CNN,Liberal,68,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,115,1837,0,95.0,0,CNN,Liberal,28,Male,1,0,95.0,source,Source,1,0,0,0
gemini-2.5-flash-lite,29,389,0,95.0,1,BBC,Conservative,24,Male,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,101,578,0,95.0,1,BBC,Conservative,28,Female,0,0,95.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,197,704,1,85.0,0,FOX,Conservative,36,Female,0,1,85.0,source,Source,0,0,0,0
gemini-2.5-flash-lite,254,830,0,95.0,0,FOX,Liberal,32,Female,1,0,95.0,source,Source,1,0,0,0
