Model,Model_Display,Metadata_Condition,Metadata_Label,Test_Type,N,n00,n01,n10,n11,McNemar_statistic,p_value,significance
llama3.2_3b,Llama 3.2 3B,source_politics,Source + Politics,Alignment change,2179,871,185,180,943,0.043835616438356165,0.8341597467008149,ns
llama4_scout,Llama 4 Scout,source_politics,Source + Politics,Alignment change,2179,978,193,120,888,16.562300319488816,4.7077630745433344e-05,***
phi4-mini,Phi-4 mini,source_politics,Source + Politics,Alignment change,2179,426,518,717,518,31.74412955465587,1.758800762449406e-08,***
qwen3_30b,Qwen3 30B,source_politics,Source + Politics,Alignment change,2179,1227,142,61,749,31.527093596059114,1.9667680640399655e-08,***
qwen3_4b,Qwen3 4B,source_politics,Source + Politics,Alignment change,2179,1260,100,62,757,8.450617283950617,0.0036491956148126774,**
r1-1776_latest,R1-1776,source_politics,Source + Politics,Alignment change,2179,769,299,261,850,2.444642857142857,0.11792672274114349,ns
gemini-2.5-flash-lite,Gemini 2.5,source_demographic,Source + Demographic,Alignment change,2179,1211,64,100,804,7.469512195121951,0.006275255208980121,**
gemma3_27b,Gemma3 27B,source_demographic,Source + Demographic,Alignment change,2179,1005,190,163,821,1.915014164305949,0.1664073393098683,ns
gpt-4o-mini,GPT-4o mini,source_demographic,Source + Demographic,Alignment change,2179,1205,88,79,807,0.38323353293413176,0.5358777645225357,ns
gpt-5.4-mini,GPT-5.4 mini,source_demographic,Source + Demographic,Alignment change,2179,1134,84,97,864,0.7955801104972375,0.3724181380009668,ns
llama3.2_3b,Llama 3.2 3B,source_demographic,Source + Demographic,Alignment change,2179,859,197,177,946,0.9652406417112299,0.3258700242969768,ns
llama4_scout,Llama 4 Scout,source_demographic,Source + Demographic,Alignment change,2179,1107,64,56,952,0.4083333333333333,0.5228166539190886,ns
phi4-mini,Phi-4 mini,source_demographic,Source + Demographic,Alignment change,2179,780,164,256,979,19.716666666666665,8.98146363417796e-06,***
qwen3_30b,Qwen3 30B,source_demographic,Source + Demographic,Alignment change,2179,1323,46,36,774,0.9878048780487805,0.3202794739217734,ns
qwen3_4b,Qwen3 4B,source_demographic,Source + Demographic,Alignment change,2179,1291,69,53,766,1.8442622950819672,0.1744522007564216,ns
r1-1776_latest,R1-1776,source_demographic,Source + Demographic,Alignment change,2179,949,119,145,966,2.367424242424242,0.12389131916687676,ns
gemini-2.5-flash-lite,Gemini 2.5,politics_demographic,Politics + Demographic,Alignment change,2179,1079,196,172,732,1.4375,0.23054432356335564,ns
gemma3_27b,Gemma3 27B,politics_demographic,Politics + Demographic,Alignment change,2179,945,250,192,792,7.350678733031674,0.006703744273849312,**
gpt-4o-mini,GPT-4o mini,politics_demographic,Politics + Demographic,Alignment change,2179,1011,282,164,722,30.692825112107624,3.022807306252904e-08,***
gpt-5.4-mini,GPT-5.4 mini,politics_demographic,Politics + Demographic,Alignment change,2179,1113,105,86,875,1.6963350785340314,0.19276796720138423,ns
llama3.2_3b,Llama 3.2 3B,politics_demographic,Politics + Demographic,Alignment change,2179,940,116,121,1002,0.06751054852320675,0.7949965125940222,ns
llama4_scout,Llama 4 Scout,politics_demographic,Politics + Demographic,Alignment change,2179,1041,130,86,922,8.560185185185185,0.003435944688857385,**
phi4-mini,Phi-4 mini,politics_demographic,Politics + Demographic,Alignment change,2179,622,322,457,778,23.050064184852374,1.5783723938676388e-06,***
qwen3_30b,Qwen3 30B,politics_demographic,Politics + Demographic,Alignment change,2179,1243,126,53,757,28.960893854748605,7.385429704076312e-08,***
qwen3_4b,Qwen3 4B,politics_demographic,Politics + Demographic,Alignment change,2179,1303,57,54,765,0.036036036036036036,0.8494410935577019,ns
r1-1776_latest,R1-1776,politics_demographic,Politics + Demographic,Alignment change,2179,787,281,178,933,22.666666666666668,1.9268160332771817e-06,***
gemini-2.5-flash-lite,Gemini 2.5,source_politics_demographic,Source + Politics + Demographic,Alignment change,2179,1082,193,160,744,2.9008498583569406,0.0885328644436724,ns
gemma3_27b,Gemma3 27B,source_politics_demographic,Source + Politics + Demographic,Alignment change,2179,816,379,284,700,13.327300150829563,0.0002615698566665816,***
gpt-4o-mini,GPT-4o mini,source_politics_demographic,Source + Politics + Demographic,Alignment change,2179,863,430,275,611,33.639716312056734,6.632459168220843e-09,***
gpt-5.4-mini,GPT-5.4 mini,source_politics_demographic,Source + Politics + Demographic,Alignment change,2179,1108,110,111,850,0.0,1.0,ns
llama3.2_3b,Llama 3.2 3B,source_politics_demographic,Source + Politics + Demographic,Alignment change,2179,839,217,215,908,0.0023148148148148147,0.9616265663061375,ns
llama4_scout,Llama 4 Scout,source_politics_demographic,Source + Politics + Demographic,Alignment change,2179,977,194,128,880,13.121118012422361,0.0002919857386898038,***
phi4-mini,Phi-4 mini,source_politics_demographic,Source + Politics + Demographic,Alignment change,2179,450,494,743,492,49.720291026677444,1.7730271797440326e-12,***
qwen3_30b,Qwen3 30B,source_politics_demographic,Source + Politics + Demographic,Alignment change,2179,1218,151,63,747,35.36915887850467,2.7277211231626186e-09,***
qwen3_4b,Qwen3 4B,source_politics_demographic,Source + Politics + Demographic,Alignment change,2179,1260,100,68,751,5.720238095238095,0.01677045612638196,*
r1-1776_latest,R1-1776,source_politics_demographic,Source + Politics + Demographic,Alignment change,2179,739,329,255,856,9.125,0.0025213988514288877,**
