Model,article_id,index,article_only_output,article_only_confidence,human_label,source,politics,age,gender,article_only_aligned
gemini-2.5-flash-lite,20,356,0.0,95.0,1,BBC,Liberal,25,Male,0
gemini-2.5-flash-lite,193,545,0.0,95.0,0,FOX,Independent,54,Female,1
gemini-2.5-flash-lite,230,671,0.0,95.0,1,FOX,Conservative,48,Male,0
gemini-2.5-flash-lite,233,797,1.0,85.0,1,FOX,Liberal,25,Male,1
gemini-2.5-flash-lite,80,1490,1.0,75.0,1,BBC,Conservative,31,Male,1
gemini-2.5-flash-lite,116,1805,0.0,95.0,1,CNN,Independent,33,Male,0
gemini-2.5-flash-lite,160,357,0.0,95.0,1,CNN,Conservative,32,Male,0
gemini-2.5-flash-lite,268,546,0.0,95.0,1,FOX,Conservative,32,Male,0
gemini-2.5-flash-lite,140,672,0.0,95.0,0,CNN,Liberal,57,Female,1
gemini-2.5-flash-lite,86,798,0.0,95.0,0,BBC,Liberal,47,Female,1
gemini-2.5-flash-lite,74,1491,0.0,95.0,1,BBC,Independent,30,Male,0
gemini-2.5-flash-lite,57,1806,0.0,95.0,0,BBC,Independent,44,Female,1
gemini-2.5-flash-lite,123,358,0.0,95.0,0,CNN,Conservative,59,Male,1
gemini-2.5-flash-lite,116,547,0.0,95.0,1,CNN,Liberal,42,Female,0
gemini-2.5-flash-lite,84,673,0.0,95.0,1,BBC,Conservative,33,Male,0
gemini-2.5-flash-lite,216,799,0.0,95.0,0,FOX,Independent,20,Male,1
gemini-2.5-flash-lite,131,1492,1.0,95.0,1,CNN,Conservative,38,Male,1
gemini-2.5-flash-lite,193,1807,0.0,95.0,0,FOX,Conservative,61,Female,1
gemini-2.5-flash-lite,116,359,0.0,95.0,1,CNN,Liberal,62,Male,0
gemini-2.5-flash-lite,272,548,0.0,95.0,0,FOX,Independent,19,Male,1
gemini-2.5-flash-lite,196,674,1.0,95.0,1,FOX,Conservative,25,Male,1
gemini-2.5-flash-lite,85,800,0.0,95.0,1,BBC,Conservative,39,Male,0
gemini-2.5-flash-lite,74,1493,0.0,95.0,1,BBC,Liberal,35,Male,0
gemini-2.5-flash-lite,116,1808,0.0,95.0,1,CNN,Independent,26,Male,0
gemini-2.5-flash-lite,263,360,0.0,95.0,1,FOX,Conservative,26,Female,0
gemini-2.5-flash-lite,36,549,0.0,95.0,0,BBC,Liberal,34,Female,1
gemini-2.5-flash-lite,101,675,0.0,95.0,0,BBC,Liberal,24,Female,1
gemini-2.5-flash-lite,226,801,0.0,95.0,0,FOX,Conservative,27,Female,1
gemini-2.5-flash-lite,133,1494,0.0,95.0,1,CNN,Conservative,25,Female,0
gemini-2.5-flash-lite,47,1809,0.0,95.0,0,BBC,Liberal,27,Male,1
gemini-2.5-flash-lite,171,361,0.0,95.0,1,CNN,Independent,31,Male,0
gemini-2.5-flash-lite,105,550,0.0,95.0,1,BBC,Conservative,48,Female,0
gemini-2.5-flash-lite,113,676,0.0,95.0,1,CNN,Liberal,35,Male,0
gemini-2.5-flash-lite,19,802,0.0,95.0,1,BBC,Conservative,42,Male,0
gemini-2.5-flash-lite,29,1495,0.0,95.0,0,BBC,Conservative,44,Female,1
gemini-2.5-flash-lite,265,1810,1.0,85.0,1,FOX,Conservative,35,Female,1
gemini-2.5-flash-lite,25,362,1.0,85.0,1,BBC,Liberal,24,Male,1
gemini-2.5-flash-lite,6,551,0.0,95.0,1,BBC,Conservative,48,Female,0
gemini-2.5-flash-lite,129,677,0.0,95.0,0,CNN,Liberal,52,Male,1
gemini-2.5-flash-lite,185,803,0.0,95.0,1,FOX,Conservative,29,Male,0
gemini-2.5-flash-lite,130,1496,0.0,95.0,1,CNN,Independent,25,Female,0
gemini-2.5-flash-lite,268,1811,0.0,95.0,1,FOX,Liberal,34,Male,0
gemini-2.5-flash-lite,122,363,0.0,95.0,1,CNN,Independent,34,Female,0
gemini-2.5-flash-lite,246,552,0.0,95.0,1,FOX,Liberal,25,Female,0
gemini-2.5-flash-lite,67,678,0.0,95.0,1,BBC,Conservative,38,Male,0
gemini-2.5-flash-lite,133,804,0.0,95.0,1,CNN,Independent,40,Male,0
gemini-2.5-flash-lite,132,1497,0.0,95.0,1,CNN,Liberal,45,Female,0
gemini-2.5-flash-lite,110,1812,0.0,95.0,0,CNN,Conservative,52,Male,1
gemini-2.5-flash-lite,114,364,0.0,95.0,1,CNN,Liberal,21,Female,0
gemini-2.5-flash-lite,94,553,0.0,95.0,1,BBC,Conservative,34,Male,0
gemini-2.5-flash-lite,95,679,0.0,95.0,1,BBC,Liberal,47,Male,0
gemini-2.5-flash-lite,247,805,0.0,95.0,1,FOX,Conservative,22,Male,0
gemini-2.5-flash-lite,131,1498,1.0,95.0,0,CNN,Liberal,37,Female,0
gemini-2.5-flash-lite,192,1813,0.0,95.0,0,FOX,Conservative,33,Male,1
gemini-2.5-flash-lite,101,365,0.0,95.0,0,BBC,Conservative,47,Male,1
gemini-2.5-flash-lite,120,554,1.0,95.0,1,CNN,Independent,18,Male,1
gemini-2.5-flash-lite,42,680,0.0,95.0,0,BBC,Independent,25,Female,1
gemini-2.5-flash-lite,133,806,0.0,95.0,0,CNN,Liberal,38,Female,1
gemini-2.5-flash-lite,179,1499,0.0,95.0,1,FOX,Liberal,40,Male,0
gemini-2.5-flash-lite,195,1814,0.0,95.0,0,FOX,Conservative,37,Female,1
gemini-2.5-flash-lite,40,366,0.0,95.0,0,BBC,Liberal,26,Female,1
gemini-2.5-flash-lite,193,555,0.0,95.0,0,FOX,Independent,44,Male,1
gemini-2.5-flash-lite,184,681,0.0,95.0,0,FOX,Independent,29,Male,1
gemini-2.5-flash-lite,276,807,0.0,95.0,0,FOX,Liberal,34,Female,1
gemini-2.5-flash-lite,258,1500,0.0,95.0,1,FOX,Independent,28,Female,0
gemini-2.5-flash-lite,265,1815,1.0,85.0,0,FOX,Independent,27,Male,0
gemini-2.5-flash-lite,220,367,0.0,95.0,1,FOX,Liberal,28,Male,0
gemini-2.5-flash-lite,25,556,1.0,85.0,1,BBC,Conservative,27,Female,1
gemini-2.5-flash-lite,142,682,0.0,95.0,1,CNN,Conservative,25,Male,0
gemini-2.5-flash-lite,100,808,0.0,95.0,0,BBC,Independent,35,Female,1
gemini-2.5-flash-lite,14,1501,0.0,95.0,1,BBC,Independent,62,Male,0
gemini-2.5-flash-lite,222,1816,0.0,95.0,1,FOX,Conservative,31,Male,0
gemini-2.5-flash-lite,97,368,0.0,95.0,1,BBC,Liberal,27,Male,0
gemini-2.5-flash-lite,274,557,0.0,95.0,1,FOX,Conservative,35,Male,0
gemini-2.5-flash-lite,210,683,0.0,95.0,0,FOX,Liberal,20,Female,1
gemini-2.5-flash-lite,116,809,0.0,95.0,1,CNN,Liberal,57,Male,0
gemini-2.5-flash-lite,80,1502,1.0,75.0,1,BBC,Liberal,35,Male,1
gemini-2.5-flash-lite,111,1817,1.0,85.0,0,CNN,Liberal,35,Male,0
gemini-2.5-flash-lite,192,369,0.0,95.0,1,FOX,Conservative,25,Male,0
gemini-2.5-flash-lite,100,558,0.0,95.0,0,BBC,Liberal,33,Male,1
gemini-2.5-flash-lite,136,684,0.0,95.0,1,CNN,Liberal,30,Male,0
gemini-2.5-flash-lite,123,810,0.0,95.0,1,CNN,Independent,23,Male,0
gemini-2.5-flash-lite,10,1503,0.0,95.0,1,BBC,Conservative,31,Male,0
gemini-2.5-flash-lite,265,1818,1.0,85.0,0,FOX,Liberal,35,Male,0
gemini-2.5-flash-lite,263,370,0.0,95.0,1,FOX,Liberal,48,Female,0
gemini-2.5-flash-lite,131,559,1.0,95.0,1,CNN,Independent,25,Male,1
gemini-2.5-flash-lite,65,685,0.0,95.0,1,BBC,Liberal,37,Female,0
gemini-2.5-flash-lite,188,811,1.0,95.0,1,FOX,Independent,39,Female,1
gemini-2.5-flash-lite,29,1504,0.0,95.0,1,BBC,Liberal,39,Male,0
gemini-2.5-flash-lite,45,1819,0.0,95.0,1,BBC,Liberal,43,Male,0
gemini-2.5-flash-lite,2,371,0.0,95.0,0,BBC,Independent,30,Male,1
gemini-2.5-flash-lite,196,560,1.0,95.0,1,FOX,Conservative,30,Male,1
gemini-2.5-flash-lite,145,686,0.0,95.0,0,CNN,Liberal,34,Male,1
gemini-2.5-flash-lite,90,812,0.0,95.0,1,BBC,Liberal,53,Male,0
gemini-2.5-flash-lite,242,1505,0.0,95.0,1,FOX,Liberal,26,Male,0
gemini-2.5-flash-lite,115,1820,0.0,95.0,0,CNN,Independent,22,Female,1
gemini-2.5-flash-lite,91,372,0.0,95.0,1,BBC,Liberal,28,Female,0
gemini-2.5-flash-lite,155,561,0.0,95.0,1,CNN,Independent,30,Male,0
gemini-2.5-flash-lite,2,687,0.0,95.0,1,BBC,Liberal,26,Male,0
gemini-2.5-flash-lite,267,813,0.0,95.0,1,FOX,Conservative,75,Female,0
gemini-2.5-flash-lite,75,1506,0.0,95.0,0,BBC,Conservative,36,Male,1
gemini-2.5-flash-lite,276,1821,0.0,95.0,0,FOX,Liberal,34,Female,1
gemini-2.5-flash-lite,153,373,0.0,95.0,1,CNN,Conservative,54,Male,0
gemini-2.5-flash-lite,103,562,0.0,95.0,1,BBC,Conservative,30,Male,0
gemini-2.5-flash-lite,165,688,0.0,95.0,0,CNN,Liberal,41,Female,1
gemini-2.5-flash-lite,82,814,0.0,95.0,1,BBC,Liberal,40,Female,0
gemini-2.5-flash-lite,208,1507,0.0,95.0,1,FOX,Conservative,46,Male,0
gemini-2.5-flash-lite,114,1822,0.0,95.0,0,CNN,Conservative,34,Male,1
gemini-2.5-flash-lite,63,374,1.0,75.0,0,BBC,Other,55,Male,0
gemini-2.5-flash-lite,253,563,0.0,95.0,0,FOX,Other,63,Female,1
gemini-2.5-flash-lite,241,689,0.0,95.0,1,FOX,Liberal,40,Female,0
gemini-2.5-flash-lite,7,815,1.0,75.0,1,BBC,Independent,35,Male,1
gemini-2.5-flash-lite,43,1508,1.0,75.0,1,BBC,Conservative,50,Female,1
gemini-2.5-flash-lite,27,1823,0.0,95.0,0,BBC,Liberal,71,Male,1
gemini-2.5-flash-lite,125,375,0.0,95.0,1,CNN,Liberal,25,Male,0
gemini-2.5-flash-lite,71,564,1.0,95.0,1,BBC,Conservative,53,Female,1
gemini-2.5-flash-lite,86,690,0.0,95.0,1,BBC,Conservative,25,Male,0
gemini-2.5-flash-lite,103,816,0.0,95.0,0,BBC,Conservative,25,Female,1
gemini-2.5-flash-lite,129,1509,0.0,95.0,0,CNN,Liberal,41,Female,1
gemini-2.5-flash-lite,115,1824,0.0,95.0,1,CNN,Conservative,28,Female,0
gemini-2.5-flash-lite,9,376,0.0,95.0,1,BBC,Liberal,30,Female,0
gemini-2.5-flash-lite,169,565,1.0,85.0,1,CNN,Conservative,25,Female,1
gemini-2.5-flash-lite,219,691,0.0,95.0,1,FOX,Independent,53,Female,0
gemini-2.5-flash-lite,3,817,0.0,95.0,1,BBC,Liberal,48,Female,0
gemini-2.5-flash-lite,132,1510,0.0,95.0,1,CNN,Conservative,31,Male,0
gemini-2.5-flash-lite,13,1825,0.0,95.0,0,BBC,Liberal,56,Female,1
gemini-2.5-flash-lite,230,377,0.0,95.0,1,FOX,Conservative,70,Male,0
gemini-2.5-flash-lite,102,566,0.0,95.0,0,BBC,Conservative,32,Female,1
gemini-2.5-flash-lite,244,692,0.0,95.0,1,FOX,Liberal,36,Female,0
gemini-2.5-flash-lite,101,818,0.0,95.0,1,BBC,Conservative,43,Male,0
gemini-2.5-flash-lite,258,1511,0.0,95.0,1,FOX,Conservative,30,Male,0
gemini-2.5-flash-lite,51,1826,1.0,95.0,1,BBC,Independent,20,Male,1
gemini-2.5-flash-lite,162,378,0.0,95.0,1,CNN,Liberal,30,Male,0
gemini-2.5-flash-lite,101,567,0.0,95.0,0,BBC,Liberal,36,Female,1
gemini-2.5-flash-lite,183,693,0.0,95.0,1,FOX,Conservative,30,Male,0
gemini-2.5-flash-lite,112,819,0.0,95.0,1,CNN,Conservative,33,Male,0
gemini-2.5-flash-lite,130,1512,0.0,95.0,1,CNN,Conservative,56,Female,0
gemini-2.5-flash-lite,0,1827,0.0,95.0,1,BBC,Conservative,40,Male,0
gemini-2.5-flash-lite,65,379,0.0,95.0,1,BBC,Liberal,52,Male,0
gemini-2.5-flash-lite,169,568,1.0,85.0,1,CNN,Independent,24,Female,1
gemini-2.5-flash-lite,28,694,0.0,95.0,1,BBC,Liberal,46,Male,0
gemini-2.5-flash-lite,150,820,0.0,95.0,1,CNN,Liberal,31,Female,0
gemini-2.5-flash-lite,182,1513,0.0,95.0,1,FOX,Conservative,25,Female,0
gemini-2.5-flash-lite,116,1828,0.0,95.0,1,CNN,Liberal,52,Female,0
gemini-2.5-flash-lite,78,380,0.0,95.0,1,BBC,Conservative,36,Male,0
gemini-2.5-flash-lite,126,569,0.0,95.0,1,CNN,Conservative,30,Male,0
gemini-2.5-flash-lite,240,695,0.0,95.0,0,FOX,Liberal,37,Female,1
gemini-2.5-flash-lite,152,821,1.0,95.0,1,CNN,Liberal,27,Male,1
gemini-2.5-flash-lite,74,1514,0.0,95.0,1,BBC,Liberal,31,Female,0
gemini-2.5-flash-lite,205,1829,0.0,98.0,0,FOX,Liberal,32,Female,1
gemini-2.5-flash-lite,88,381,0.0,95.0,1,BBC,Conservative,33,Male,0
gemini-2.5-flash-lite,154,570,0.0,95.0,1,CNN,Liberal,27,Female,0
gemini-2.5-flash-lite,49,696,0.0,95.0,1,BBC,Conservative,30,Male,0
gemini-2.5-flash-lite,265,822,1.0,85.0,0,FOX,Conservative,41,Female,0
gemini-2.5-flash-lite,132,1515,0.0,95.0,1,CNN,Conservative,26,Female,0
gemini-2.5-flash-lite,205,1830,0.0,98.0,1,FOX,Independent,25,Female,0
gemini-2.5-flash-lite,198,382,0.0,95.0,0,FOX,Liberal,36,Male,1
gemini-2.5-flash-lite,36,571,0.0,95.0,1,BBC,Conservative,23,Male,0
gemini-2.5-flash-lite,142,697,0.0,95.0,1,CNN,Conservative,32,Male,0
gemini-2.5-flash-lite,159,823,0.0,95.0,1,CNN,Independent,30,Male,0
gemini-2.5-flash-lite,133,1516,0.0,95.0,1,CNN,Independent,40,Male,0
gemini-2.5-flash-lite,59,1831,0.0,95.0,0,BBC,Independent,59,Male,1
gemini-2.5-flash-lite,112,383,0.0,95.0,1,CNN,Liberal,60,Female,0
gemini-2.5-flash-lite,121,572,0.0,95.0,1,CNN,Liberal,48,Female,0
gemini-2.5-flash-lite,98,698,0.0,95.0,0,BBC,Independent,23,Male,1
gemini-2.5-flash-lite,184,824,0.0,95.0,1,FOX,Conservative,25,Female,0
gemini-2.5-flash-lite,236,1517,0.0,95.0,0,FOX,Conservative,31,Male,1
gemini-2.5-flash-lite,50,1832,1.0,95.0,1,BBC,Liberal,34,Female,1
gemini-2.5-flash-lite,131,384,1.0,95.0,0,CNN,Conservative,34,Male,0
gemini-2.5-flash-lite,142,573,0.0,95.0,0,CNN,Conservative,25,Male,1
gemini-2.5-flash-lite,144,699,0.0,95.0,1,CNN,Independent,33,Female,0
gemini-2.5-flash-lite,100,825,0.0,95.0,1,BBC,Liberal,59,Female,0
gemini-2.5-flash-lite,208,1518,0.0,95.0,1,FOX,Conservative,48,Male,0
gemini-2.5-flash-lite,205,1833,0.0,98.0,0,FOX,Independent,59,Female,1
gemini-2.5-flash-lite,133,385,0.0,95.0,1,CNN,Independent,35,Male,0
gemini-2.5-flash-lite,160,574,0.0,95.0,1,CNN,Liberal,25,Male,0
gemini-2.5-flash-lite,202,700,1.0,85.0,0,FOX,Other,54,Female,0
gemini-2.5-flash-lite,7,826,1.0,75.0,1,BBC,Liberal,26,Male,1
gemini-2.5-flash-lite,136,1519,0.0,95.0,1,CNN,Conservative,25,Female,0
gemini-2.5-flash-lite,193,1834,0.0,95.0,0,FOX,Conservative,31,Male,1
gemini-2.5-flash-lite,116,386,0.0,95.0,0,CNN,Independent,43,Male,1
gemini-2.5-flash-lite,157,575,0.0,95.0,0,CNN,Conservative,68,Female,1
gemini-2.5-flash-lite,102,701,0.0,95.0,1,BBC,Liberal,26,Male,0
gemini-2.5-flash-lite,145,827,0.0,95.0,1,CNN,Conservative,41,Female,0
gemini-2.5-flash-lite,14,1520,0.0,95.0,0,BBC,Liberal,44,Male,1
gemini-2.5-flash-lite,195,1835,0.0,95.0,0,FOX,Liberal,47,Male,1
gemini-2.5-flash-lite,11,387,1.0,95.0,1,BBC,Independent,26,Female,1
gemini-2.5-flash-lite,104,576,0.0,95.0,1,BBC,Independent,32,Female,0
gemini-2.5-flash-lite,266,702,0.0,95.0,1,FOX,Independent,25,Male,0
gemini-2.5-flash-lite,191,828,0.0,95.0,1,FOX,Conservative,42,Female,0
gemini-2.5-flash-lite,136,1521,0.0,95.0,1,CNN,Independent,29,Female,0
gemini-2.5-flash-lite,205,1836,0.0,98.0,0,FOX,Independent,31,Male,1
gemini-2.5-flash-lite,74,388,0.0,95.0,1,BBC,Liberal,40,Female,0
gemini-2.5-flash-lite,272,577,0.0,95.0,0,FOX,Independent,31,Female,1
gemini-2.5-flash-lite,103,703,0.0,95.0,0,BBC,Independent,38,Male,1
gemini-2.5-flash-lite,76,829,0.0,95.0,0,BBC,Conservative,35,Male,1
gemini-2.5-flash-lite,129,1522,0.0,95.0,0,CNN,Liberal,68,Male,1
gemini-2.5-flash-lite,115,1837,0.0,95.0,0,CNN,Liberal,28,Male,1
gemini-2.5-flash-lite,29,389,0.0,95.0,1,BBC,Conservative,24,Male,0
gemini-2.5-flash-lite,101,578,0.0,95.0,1,BBC,Conservative,28,Female,0
gemini-2.5-flash-lite,197,704,1.0,85.0,0,FOX,Conservative,36,Female,0
gemini-2.5-flash-lite,254,830,0.0,95.0,0,FOX,Liberal,32,Female,1
gemini-2.5-flash-lite,133,1523,0.0,95.0,1,CNN,Conservative,45,Male,0
gemini-2.5-flash-lite,116,1838,0.0,95.0,0,CNN,Liberal,29,Female,1
gemini-2.5-flash-lite,266,390,0.0,95.0,1,FOX,Independent,30,Male,0
gemini-2.5-flash-lite,64,579,1.0,85.0,0,BBC,Independent,25,Female,0
gemini-2.5-flash-lite,94,705,0.0,95.0,1,BBC,Conservative,56,Male,0
gemini-2.5-flash-lite,90,831,0.0,95.0,0,BBC,Liberal,52,Female,1
gemini-2.5-flash-lite,132,1524,0.0,95.0,1,CNN,Liberal,31,Female,0
gemini-2.5-flash-lite,115,1839,0.0,95.0,0,CNN,Conservative,68,Female,1
gemini-2.5-flash-lite,139,391,0.0,95.0,1,CNN,Conservative,43,Female,0
gemini-2.5-flash-lite,110,580,0.0,95.0,1,CNN,Independent,35,Female,0
gemini-2.5-flash-lite,218,706,0.0,95.0,1,FOX,Liberal,43,Male,0
gemini-2.5-flash-lite,105,832,0.0,95.0,1,BBC,Conservative,28,Male,0
gemini-2.5-flash-lite,130,1525,0.0,95.0,1,CNN,Independent,22,Male,0
gemini-2.5-flash-lite,110,1840,0.0,95.0,0,CNN,Independent,36,Female,1
gemini-2.5-flash-lite,184,392,0.0,95.0,1,FOX,Liberal,37,Female,0
gemini-2.5-flash-lite,168,581,0.0,95.0,0,CNN,Independent,64,Female,1
gemini-2.5-flash-lite,166,707,1.0,75.0,1,CNN,Independent,38,Female,1
gemini-2.5-flash-lite,286,833,0.0,95.0,0,FOX,Independent,39,Female,1
gemini-2.5-flash-lite,80,1526,1.0,75.0,1,BBC,Independent,25,Female,1
gemini-2.5-flash-lite,115,1841,0.0,95.0,0,CNN,Liberal,56,Female,1
gemini-2.5-flash-lite,121,393,0.0,95.0,1,CNN,Liberal,21,Female,0
gemini-2.5-flash-lite,118,582,0.0,95.0,1,CNN,Conservative,30,Male,0
gemini-2.5-flash-lite,101,708,0.0,95.0,1,BBC,Liberal,48,Male,0
gemini-2.5-flash-lite,180,834,0.0,95.0,0,FOX,Liberal,27,Male,1
gemini-2.5-flash-lite,137,1527,0.0,95.0,0,CNN,Liberal,50,Female,1
gemini-2.5-flash-lite,265,1842,1.0,85.0,0,FOX,Independent,56,Male,0
gemini-2.5-flash-lite,114,394,0.0,95.0,1,CNN,Conservative,22,Female,0
gemini-2.5-flash-lite,167,583,0.0,95.0,1,CNN,Liberal,23,Female,0
gemini-2.5-flash-lite,70,709,0.0,95.0,0,BBC,Conservative,43,Male,1
gemini-2.5-flash-lite,227,835,0.0,95.0,1,FOX,Conservative,25,Female,0
gemini-2.5-flash-lite,133,1528,0.0,95.0,0,CNN,Conservative,32,Male,1
gemini-2.5-flash-lite,112,1843,0.0,95.0,1,CNN,Liberal,32,Male,0
gemini-2.5-flash-lite,135,395,0.0,95.0,0,CNN,Independent,28,Female,1
gemini-2.5-flash-lite,8,584,0.0,95.0,1,BBC,Liberal,32,Male,0
gemini-2.5-flash-lite,128,710,0.0,95.0,1,CNN,Liberal,44,Female,0
gemini-2.5-flash-lite,109,836,0.0,95.0,0,BBC,Conservative,55,Female,1
gemini-2.5-flash-lite,14,1529,0.0,95.0,0,BBC,Conservative,44,Male,1
gemini-2.5-flash-lite,115,1844,0.0,95.0,0,CNN,Conservative,53,Male,1
gemini-2.5-flash-lite,263,396,0.0,95.0,0,FOX,Liberal,29,Female,1
gemini-2.5-flash-lite,160,585,0.0,95.0,0,CNN,Other,90,Female,1
gemini-2.5-flash-lite,157,711,0.0,95.0,1,CNN,Liberal,25,Female,0
gemini-2.5-flash-lite,260,837,0.0,95.0,0,FOX,Independent,39,Male,1
gemini-2.5-flash-lite,262,1530,0.0,95.0,1,FOX,Independent,51,Male,0
gemini-2.5-flash-lite,59,1845,0.0,95.0,1,BBC,Liberal,34,Male,0
gemini-2.5-flash-lite,230,397,0.0,95.0,1,FOX,Conservative,25,Female,0
gemini-2.5-flash-lite,20,586,0.0,95.0,1,BBC,Conservative,24,Male,0
gemini-2.5-flash-lite,146,712,0.0,95.0,0,CNN,Independent,26,Female,1
gemini-2.5-flash-lite,72,838,0.0,95.0,0,BBC,Liberal,38,Male,1
gemini-2.5-flash-lite,236,1531,0.0,95.0,1,FOX,Independent,30,Female,0
gemini-2.5-flash-lite,110,1846,0.0,95.0,0,CNN,Liberal,38,Male,1
gemini-2.5-flash-lite,20,398,0.0,95.0,1,BBC,Conservative,31,Male,0
gemini-2.5-flash-lite,111,587,1.0,85.0,0,CNN,Liberal,27,Female,0
gemini-2.5-flash-lite,277,713,0.0,95.0,1,FOX,Independent,25,Male,0
gemini-2.5-flash-lite,136,839,0.0,95.0,1,CNN,Liberal,45,Male,0
gemini-2.5-flash-lite,133,1532,0.0,95.0,1,CNN,Independent,25,Female,0
gemini-2.5-flash-lite,265,1847,1.0,85.0,1,FOX,Liberal,41,Male,1
gemini-2.5-flash-lite,23,399,0.0,95.0,1,BBC,Liberal,26,Male,0
gemini-2.5-flash-lite,138,588,0.0,95.0,0,CNN,Conservative,32,Female,1
gemini-2.5-flash-lite,197,714,1.0,85.0,1,FOX,Liberal,31,Female,1
gemini-2.5-flash-lite,261,840,0.0,95.0,0,FOX,Liberal,31,Male,1
gemini-2.5-flash-lite,129,1533,0.0,95.0,1,CNN,Conservative,51,Female,0
gemini-2.5-flash-lite,192,1848,0.0,95.0,1,FOX,Liberal,28,Male,0
gemini-2.5-flash-lite,273,400,1.0,85.0,0,FOX,Liberal,35,Male,0
gemini-2.5-flash-lite,277,589,0.0,95.0,0,FOX,Liberal,44,Female,1
gemini-2.5-flash-lite,188,715,1.0,95.0,1,FOX,Independent,29,Female,1
gemini-2.5-flash-lite,174,841,0.0,95.0,1,FOX,Conservative,34,Male,0
gemini-2.5-flash-lite,208,1534,0.0,95.0,1,FOX,Conservative,25,Male,0
gemini-2.5-flash-lite,193,1849,0.0,95.0,1,FOX,Independent,62,Male,0
gemini-2.5-flash-lite,280,401,0.0,95.0,0,FOX,Independent,22,Male,1
gemini-2.5-flash-lite,125,590,0.0,95.0,1,CNN,Independent,42,Male,0
gemini-2.5-flash-lite,123,716,0.0,95.0,1,CNN,Conservative,25,Female,0
gemini-2.5-flash-lite,175,842,0.0,95.0,0,FOX,Independent,37,Male,1
gemini-2.5-flash-lite,129,1535,0.0,95.0,0,CNN,Liberal,55,Male,1
gemini-2.5-flash-lite,59,1850,0.0,95.0,0,BBC,Conservative,65,Female,1
gemini-2.5-flash-lite,265,402,1.0,85.0,1,FOX,Liberal,48,Male,1
gemini-2.5-flash-lite,71,591,1.0,95.0,1,BBC,Liberal,26,Male,1
gemini-2.5-flash-lite,33,717,0.0,95.0,1,BBC,Independent,23,Male,0
gemini-2.5-flash-lite,33,843,0.0,95.0,1,BBC,Liberal,30,Female,0
gemini-2.5-flash-lite,129,1536,0.0,95.0,1,CNN,Conservative,28,Female,0
gemini-2.5-flash-lite,115,1851,0.0,95.0,0,CNN,Liberal,44,Female,1
gemini-2.5-flash-lite,206,403,0.0,95.0,0,FOX,Liberal,46,Male,1
gemini-2.5-flash-lite,150,592,0.0,95.0,1,CNN,Independent,37,Female,0
gemini-2.5-flash-lite,104,718,0.0,95.0,1,BBC,Liberal,29,Male,0
gemini-2.5-flash-lite,94,844,0.0,95.0,1,BBC,Conservative,35,Male,0
gemini-2.5-flash-lite,134,1537,0.0,95.0,0,CNN,Liberal,31,Male,1
gemini-2.5-flash-lite,222,1852,0.0,95.0,0,FOX,Liberal,28,Male,1
gemini-2.5-flash-lite,234,404,0.0,95.0,1,FOX,Liberal,41,Female,0
gemini-2.5-flash-lite,211,593,0.0,95.0,1,FOX,Conservative,40,Male,0
gemini-2.5-flash-lite,101,719,0.0,95.0,1,BBC,Independent,25,Male,0
