article_id,index,llm_assessment,llm_confidence,llm_label,Model,Prompt,human_label,source,politics,age,gender
171,361,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,31,Male
105,550,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,48,Female
113,676,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,35,Male
19,802,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,42,Male
29,1495,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Conservative,44,Female
265,1810,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,35,Female
25,362,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,24,Male
6,551,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,48,Female
129,677,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,52,Male
185,803,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,29,Male
130,1496,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,25,Female
268,1811,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,34,Male
122,363,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,34,Female
246,552,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,25,Female
67,678,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,38,Male
133,804,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,40,Male
132,1497,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,45,Female
110,1812,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Conservative,52,Male
114,364,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,21,Female
94,553,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,34,Male
95,679,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,47,Male
247,805,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,22,Male
131,1498,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,37,Female
192,1813,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Conservative,33,Male
101,365,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Conservative,47,Male
120,554,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,18,Male
42,680,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Independent,25,Female
133,806,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,38,Female
179,1499,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,40,Male
195,1814,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Conservative,37,Female
40,366,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,26,Female
193,555,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,44,Male
184,681,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,29,Male
276,807,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,34,Female
258,1500,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Independent,28,Female
265,1815,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,27,Male
220,367,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,28,Male
25,556,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,27,Female
142,682,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,25,Male
100,808,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Independent,35,Female
14,1501,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Independent,62,Male
222,1816,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,31,Male
97,368,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,27,Male
274,557,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,35,Male
210,683,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,20,Female
116,809,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,57,Male
80,1502,is-biased,75.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,35,Male
111,1817,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,35,Male
192,369,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,25,Male
100,558,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,33,Male
136,684,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,30,Male
123,810,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,23,Male
10,1503,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,31,Male
265,1818,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,35,Male
263,370,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,48,Female
131,559,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,25,Male
65,685,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,37,Female
188,811,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,FOX,Independent,39,Female
29,1504,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,39,Male
45,1819,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,43,Male
2,371,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Independent,30,Male
196,560,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,30,Male
145,686,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,34,Male
90,812,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,53,Male
242,1505,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,26,Male
115,1820,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Independent,22,Female
91,372,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,28,Female
155,561,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,30,Male
2,687,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,26,Male
267,813,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,75,Female
75,1506,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Conservative,36,Male
276,1821,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,34,Female
153,373,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,54,Male
103,562,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,30,Male
165,688,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,41,Female
82,814,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,40,Female
208,1507,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,46,Male
114,1822,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Conservative,34,Male
63,374,is-biased,75.0,1.0,gemini-2.5-flash-lite,article_only,0,BBC,Other,55,Male
253,563,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Other,63,Female
241,689,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,40,Female
7,815,is-biased,75.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Independent,35,Male
43,1508,is-biased,75.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,50,Female
27,1823,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,71,Male
125,375,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,25,Male
71,564,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,53,Female
86,690,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,25,Male
103,816,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Conservative,25,Female
129,1509,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,41,Female
115,1824,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,28,Female
9,376,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,30,Female
169,565,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,25,Female
219,691,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Independent,53,Female
3,817,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,48,Female
132,1510,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,31,Male
13,1825,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,56,Female
230,377,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,70,Male
102,566,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Conservative,32,Female
244,692,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,36,Female
101,818,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,43,Male
258,1511,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,30,Male
51,1826,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Independent,20,Male
162,378,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,30,Male
101,567,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,36,Female
183,693,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,30,Male
112,819,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,33,Male
130,1512,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,56,Female
0,1827,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,40,Male
65,379,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,52,Male
169,568,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,24,Female
28,694,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,46,Male
150,820,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,31,Female
182,1513,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,25,Female
116,1828,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,52,Female
78,380,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,36,Male
126,569,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,30,Male
240,695,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,37,Female
152,821,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,27,Male
74,1514,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,31,Female
205,1829,is-not-biased,98.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,32,Female
88,381,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,33,Male
154,570,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,27,Female
49,696,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,30,Male
265,822,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,0,FOX,Conservative,41,Female
132,1515,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,26,Female
205,1830,is-not-biased,98.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Independent,25,Female
198,382,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,36,Male
36,571,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,23,Male
142,697,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,32,Male
159,823,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,30,Male
133,1516,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,40,Male
59,1831,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Independent,59,Male
112,383,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,60,Female
121,572,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,48,Female
98,698,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Independent,23,Male
184,824,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,25,Female
236,1517,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Conservative,31,Male
50,1832,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,34,Female
131,384,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,0,CNN,Conservative,34,Male
142,573,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Conservative,25,Male
144,699,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,33,Female
100,825,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,59,Female
208,1518,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,48,Male
205,1833,is-not-biased,98.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,59,Female
133,385,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,35,Male
160,574,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,25,Male
202,700,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,0,FOX,Other,54,Female
7,826,is-biased,75.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,26,Male
136,1519,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,25,Female
193,1834,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Conservative,31,Male
116,386,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Independent,43,Male
157,575,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Conservative,68,Female
102,701,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,26,Male
145,827,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,41,Female
14,1520,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,44,Male
195,1835,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,47,Male
11,387,is-biased,95.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Independent,26,Female
104,576,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Independent,32,Female
266,702,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Independent,25,Male
191,828,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,42,Female
136,1521,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,29,Female
205,1836,is-not-biased,98.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,31,Male
74,388,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,40,Female
272,577,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,31,Female
103,703,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Independent,38,Male
76,829,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Conservative,35,Male
129,1522,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,68,Male
115,1837,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,28,Male
29,389,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,24,Male
101,578,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,28,Female
197,704,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,0,FOX,Conservative,36,Female
254,830,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,32,Female
133,1523,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,45,Male
116,1838,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,29,Female
266,390,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Independent,30,Male
64,579,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,0,BBC,Independent,25,Female
94,705,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,56,Male
90,831,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Liberal,52,Female
132,1524,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,31,Female
115,1839,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Conservative,68,Female
139,391,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,43,Female
110,580,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,35,Female
218,706,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,43,Male
105,832,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Conservative,28,Male
130,1525,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,22,Male
110,1840,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Independent,36,Female
184,392,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Liberal,37,Female
168,581,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Independent,64,Female
166,707,is-biased,75.0,1.0,gemini-2.5-flash-lite,article_only,1,CNN,Independent,38,Female
286,833,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,39,Female
80,1526,is-biased,75.0,1.0,gemini-2.5-flash-lite,article_only,1,BBC,Independent,25,Female
115,1841,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,56,Female
121,393,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,21,Female
118,582,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,30,Male
101,708,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,48,Male
180,834,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,FOX,Liberal,27,Male
137,1527,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Liberal,50,Female
265,1842,is-biased,85.0,1.0,gemini-2.5-flash-lite,article_only,0,FOX,Independent,56,Male
114,394,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Conservative,22,Female
167,583,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,23,Female
70,709,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Conservative,43,Male
227,835,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,FOX,Conservative,25,Female
133,1528,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Conservative,32,Male
112,1843,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,32,Male
135,395,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,CNN,Independent,28,Female
8,584,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,BBC,Liberal,32,Male
128,710,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,1,CNN,Liberal,44,Female
109,836,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Conservative,55,Female
14,1529,is-not-biased,95.0,0.0,gemini-2.5-flash-lite,article_only,0,BBC,Conservative,44,Male
